,text
10,"<|startoftext|>Written by: Perry Rein and Gigi McCree Transcribed by: Aaron D. Howard-Mille [Scene: Joey and Janines, Chandler knocks on the front door. Joey answers the door. Joey: Hey Chandler: Hi, my names Chandler. I just moved in next door and I was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source Joey: Sure, neighbor come on in Chandler: So, is Janine around Joey: Uh, no, shes at dance class Chandler: Can I check out what she did to my room Joey: Yeah, but, hey look, dont go through her stuff. She gets really mad.(Chandler gives him a look and walks to the door of his old room. Chandler: (The room is filled with flowers and a floral print sheet on the bed.) Oh my God. What is th its like a guy never lived in here. Look, youve got to be careful. This girl thing is dangerous. (Looking around the living room.) Its spreading already Joey: (Looking around the room.) It is?? Chandler: (Picking up a pillow.) Yeah, is this your pretty pink pillow on the couch Joey: No Chandler: (Pointing to the table and picking up the box.) Is that your tiny little box, thats too small to put anything in Joey: No Chandler: No! Ok, this is not good. You are a guy. Ok? This is a guys place. If you let this go, youre going to be sitting around with your fingers soaking in stuff Joey: (With Big Eyes.) All right, youre right. Ill talk to her Chandler: Yes talk to her. Be a man Joey: Im a man Chandler: Defend yourself Joey: (Grunting) Hmm. (Monica opens the front door and comes in. Monica: Chandler come on. We have to hem the new dust ruffle Chandler: Be right there sweetums. (Monica leaves. To Joey.) A totally different situation Opening Credit<|endoftext|>"
11,"<|startoftext|>Originally written by Adam Chas Transcribed by: Eric B Aasen [Scene: Monica and Rachel's, Phoebe, Chandler, and Ross are there Rachel is serving brownies. Rachel: Here you go Pheebs. Who else wants one of my specia         homemade brownies? Chandler: I will have one. (Ross and him both take one. (Phoebe takes a bite and spits it out and screams. Chandler: Okay, Im not gonna have one Ross: Neither will I. (they both put back the brownies. Phoebe: No, no, its just my tooth Chandler: All right Ill have one. (he and Ross take anothe           brownie, Ross: So whats a matter, you need a dentist? Ive got a good one Phoebe: No thanks, I have a good one too. I just, I, I cant see him Chandler: See that is the problem with invisible dentists Ross: Why? Why cant you go to him Phoebe: Because, every time I go to the dentist, somebody dies Chandler: That is so weird, because every time I go to the dentist,            look down the hygienists blouse Rachel: Phoebe, what? Umm...what? Phoebe: Yeah, yeah, first there was my aunt Mary, and then ther         was umm, John, my mailman, and then my, my cowboy frien         Albino Bob Rachel: And all these people actually died<|endoftext|>"
12,"<|startoftext|>Originally written by Alexa Jung Transcribed by Josh Hodge [Scene: Monica and Rachel's apartment. Rachel is on the phone. RACHEL: Mom, would you relax. That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that. Mom, c'mon, stop worrying. This is a safe street, this is a safe building, there's nothing [a pigeon flies in the window and lands on the table] OH MY GOOOD, oh my God, oh I gotta go, I gotta go, I gotta go. [hangs up] OK, that's fine, you just read the paper, I'm gonna get a pot, it's not for you. [grabs a pot and lid] OK, that's fine, read the Family Circus, enjoy the gentle comedy. [puts pot over the pigeon] Aaahh, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, aaaaahh. [knock at the door] It's open you guys [a stranger enters with flowers STRANGER: Hi RACHEL: Hi, hi can I help you STRANGER: Yeah, I'm looking for Phoebe, does she still live here RACHEL: Uh, no she doesn't but I can, I can get a message to her STRANGER: Great. Uhh, just tell her her husband stopped by. [leaves flowers on bar RACHEL: What? [in surprise she forgets she has the pigeon in the pot and lets it get away STRANGER: Hey, how, how did you do that OPENING TITLE [Scene: Monica and Rachels apartment. The whole gang is there. JOEY: This is unbelievable Phoebs, how can you be married PHOEBE: Well, I mean, I'm not married married, ya know, he's just a friend and he's gay and he's just from Canada and he just needed a green card MONICA: I can't believe you married Duncan. I mean how could you not tell me? We lived together, we told each other everything PHOEBE: I'm sorry Monica but I knew if I told you, you'd get really, like, judgemental and you would not approve MONICA: Of course I wouldn't approve, I mean, you were totally in love with this guy who, hello, was gay. I mean, what the hell were you thinking ROSS: You see, and you thought she'd be judgemental PHOEBE: OK, I wasn't in love with him and I was just helping out a friend MONICA: Please, when he left town you stayed in your pajamas for a month and I saw you eat a cheeseburger ALL: Huuh MONICA: Well, didn't you PHOEBE: I might have<|endoftext|>"
13,"<|startoftext|>Originally written by Marta Kauffman and David Cran Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu RACHEL: Ow ow ow. Ow ow ow. Ow ow ow MONICA: Hi. Uh, my friend here was taking down our Christmas lights, and she fell off the balcony and may have broken her foot or ankle or something NURSE: My god. You still have your Christmas lights up? Fill this out and bring it back to me RACHEL: Ow ow ow. Ow ow ow. Ow ow ow MONICA: All right. Name, address...Ok, in case of emergency call RACHEL: You MONICA: Really RACHEL: Yeah MONICA: Oh, that is so sweet. Oh gosh. I love you. Insurance RACHEL: Oh, yeah, check it. Definitely, I want some of that. Monica: You don't have insurance RACHEL: Why, how much is this gonna cost MONICA: I have no idea, but x-rays alone could be a couple hundred dollars RACHEL: Well what are we gonna do MONICA: There's not much we can do RACHEL: Um, unless, unless I use yours MONICA: No no no no no no no no no RACHEL: Well, now, wait a second. Who did I just put as my ""In case of emergency"" call person MONICA: That's insurance fraud RACHEL: Well, all right, then, forget it. Might as well just go home. Ow MONICA: Ok. Ok. I hate this RACHEL: Thank you. Thank you. I love you MONICA: Hi. Um, I'm gonna need a new set of these forms NURSE: Why<|endoftext|>"
14,"<|startoftext|>Written by: Adam Chas Transcribed by: Eric Aase [Scene: The hallway, Ross is running up the stairs. Note: This show continues where the last one left off. Ross: Chandler!!! Chandler!!! (He opens the door to the apartment but is stopped by the chain; Chandler and Monica quickly stop making out and try to get dressed.) Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here Chandler: (To Monica) Wow! Listen, we had a good run. What was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then! (He kisses her and starts to climb out the balcony window. Monica: What are you doing? Chandler: Oh, I'm going on the lamb Monica: Come on Chandler, come on, I can handle Ross. (They go to the door. Ross is trying to stick his hand through and undo the chain; Monica pushes his hand back.) (To Ross) Hold on! (She opens the door.) Hey Ross. What's up bro (Ross spots Chandler and starts chasing him around the kitchen table. Chandler runs and hides behind Monica. Ross: What the hell are doing?! Rachel: (running from the guy's apartment with Joey in tow) Hey, what's-what's going on? Chandler: Well, I think, I think Ross knows about me and Monica Joey: (panicking) Dude! He's right there Ross: (To Chandler) I thought you were my best friend, this is my sister! My best friend and my sister! I-I cannot believe this Chandler: Look, we're not just messing around! I love her. Okay, I'm in love with her Monica: I'm so sorry that you had to find out this way. I'm sorry, but it's true, I love him too (There's a brief pause. Ross: (happily) My best friend and my sister! I cannot believe this. (He hugs them both.) (To Joey and Rachel) You guys probably wanna get some hugs in too, huh? Big news Rachel: Awww, no, it's okay, we've actually known for a while (There's another pause as Ross gets angry again. Ross: What? What? What?! You guys knew? (Joey and Rachel backup against the door.) You all knew and you didn't tell me?! Rachel: Well, Ross, we were worried about you. We didn't know how you were going to react (Pause. Ross: (happily again) You were worried about me? You didn't know how I was going to react? (He hugs them both. Joey: Okay, all right, whew! What do you say we all clear out of here and let these two lovebirds get back down to business? (Ross turns and glares at him.) Hey-hey-hey, I-I-I'm just talking here, he-he's the one doing your sister<|endoftext|>"
15,"<|startoftext|>Written by: Scott Silver Transcribed by: Eric Aase [Scene: Chandler and Joey's, Joey, Chandler, and Phoebe are there as Ross enters. Ross: Hey Chandler, Joey, and Phoebe: Hey Ross: Im sorry Im late, did I miss anything Phoebe: Joey stuffing 15 Oreos in his mouth. (Joey, with an obvious mouth full, nods yes. Ross: 15? (Joey nods again) Your personal best! (Ross takes an Oreo and Joey mumbles, no! Phoebe: Where were you Ross: Oh, on a date. Yeah, I met this girl on the train going to a museum upstate (simultaneously Chandler: Oh, yeah! How did you meet her Phoebe: Oh, which museum Phoebe: (just Phoebe) No, answer his Ross: Okay, it was just me and her at the back of the train, and I sat near the door, so shed have to pass by me if she wanted to switch cars. She was totally at my mercy Chandler: Were you so late because you were burring this woman Ross: No, Im getting back down cause she lives in Poughkeepsie. She seems really great, but shes like totally great, but she lives two and a half hours away Chandler: How can she be great if shes from Poughkeepsie? (laughs, at they all look at him) That joke wouldve killed in Albany Joey: Done! I did it! Heh, whos stupid now? (He smiles and has cookie remains all over his teeth. OPENING CREDIT [Scene: Central Perk, Chandler, Joey, Rachel, and Phoebe are there. Chandler: Hey, look at this! (Holding a newspaper) Theyre lighting the big Christmas tree tonight Phoebe: Umm, that papers two weeks old Chandler: All right, who keeps leaving old newspapers in the trash?! I really wanted to take Kathy to this, I cant believe I missed it Rachel: Hey, yknow, at least you have somebody to miss that stuff with! I hate being alone this time of year! Next thing you know itll be Valentines Day, then my birthday, then bang!before you know it, theyre lighting that damn tree again. Ohh, I want somebody! (hearing this, Gunther moves in) Yknow, I want a man!! (Gunther leaves depressed) I mean, it doesnt even have to be a big relationship, yknow, just like a fling would be great<|endoftext|>"
16,"<|startoftext|>Written by: Greg Malin Transcribed by: Eric Aase [Scene: Monica and Rachel's, everyone has just finished Thanksgiving dinner and are groaning over their fullness. Rachel: Oh Monica that was the best Thanksgiving dinner ever! I think you killed us Ross: I couldn't possibly eat another bite Joey: I need something sweet Phoebe: Does anyone wanna watch TV All: Yeah, sure (She starts pushing the power button on the remote, but it's not facing the TV so it doesn't work. Phoebe: Monica your remote doesn't work Monica: Phoebe, you have to lift it and point Phoebe: Oh. Aw, forget it Rachel: Yeah, you know what we should all do? We should play that game where everyone says one thing that they're thankful for Joey: Ooh-ooh, I! I am thankful for this beautiful fall we've been having Monica: That's very nice Chandler: That's sweet, Joey Joey: Yeah, the other day I was at the bus-stop and this lovely fall breeze came in out of nowhere and blew this chick's skirt right up. Oh! Which reminds me, I'm also thankful for thongs. (Note: Actually, I think every guy is thankful for thongs. That and spandex. J  Opening Credit [Scene: Monica and Rachel's, continued from earlier. Joey is talking about the wonder that is the thong. Joey: I mean, it's not so much an underpant as it is a feat of engineering. I mean, it's amazing how much they can do with so little material! And the way they play with your mind! Is it there? Is it not there Chandler: Are you aware that you're still talking Monica: Is anyone thankful for anything else besides a thong Ross: Huh, I don't know what to pick. Am I more thankful for my divorce or my eviction? Hmm Phoebe: Wow! See, and I didn't think you'd be able to come up with anything Ross: I'm sorry. It's just that this is the worse Thanksgiving ever<|endoftext|>"
17,"<|startoftext|>Written by: Scott Silveri & Shana Goldberg-Meeha Transcribed by: Eric Aase [Scene: Central Perk, Chandler and Joey are sitting on the couch reading. Joey: Can I see the comics Chandler: This is the New York Times Joey: Okay, may I see the comics [Monica and Phoebe enter. Monica: Guys. I thought you were taking Ross to the game Chandler: We are. Hes meeting us here Monica: No! Rachel is meeting us here Phoebe: Oh come on, they can be in the same room Joey: Yeah, you shoulda been there last night Phoebe: Why? What happened now Joey: Well Ross was hangin out over at our place, Rachel comes over to borrow some moisturiser from Chandler... Chandler: Yeah y-you, how hard is it to say something? Rachel came over to borrow something Joey: Anyway! Her and Ross just started yelling at each other Phoebe: Wait. Why was he yelling at her? Hes the one who slept with someone else Joey: Well, I guess he says that because they were on a break when it happened, that she should of forgiven him by now Phoebe: Whoa!! He is soo unreasonable! God, although I think I understand what he means. Oh my God, this is like 60 Minutes, okay, when, when, at first youre really mad at that pharmaceutical company for making the drug and then y'know you just feel bad for the people because they needed to make their hair grow Chandler: Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesnt try to kidnap me after Cub Scouts Phoebe: Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy... Joey: I had the same dream Phoebe: Yeah, and nobody slept with that Xerox girl Joey: Oh, I had the opposite dream Chandler: Y'know what maybe its gonna be okay, I mean its been a week<|endoftext|>"
18,"<|startoftext|>Written by: Sherry Bilsing & Ellen Plumme Transcribed by: Eric Aase [Scene: Central Perk, Rachel, Phoebe, Joey, Ross, and Monica are all there as Chandler enters wearing glasses. Chandler: Hey, you guys Ross and Rachel: Hey Chandler: So, what do you think Ross: About what Rachel: Yeah, what Joey: What Chandler: Are you kidding? Okay, Ill give you a hint; Ill give you a hint. (Points to his glasses. Joey: Eyes! No, no. Your eyes! No. Chandlers eyes Chandler: I got glasses Ross: Well, you-youve always had glasses Chandler: No I didnt Ross: Are you sure Rachel: Yeah-yeah, did-didnt you use to have a pair? They were really round, burgundy, and they made you look kind of um Joey: Feminine Rachel: Yes Chandler: No Monica: Sweetie, I think the glasses look great. They make you look really sexy Chandler: Really Monica: Yeah Chandler: (sitting down on the arm of her chair) You didnt think I used to wear glasses, right Monica: Of course! (She mouths, ""I have no idea,"" to the rest of the gang. Opening Credit<|endoftext|>"
19,"<|startoftext|>Originally written by Marta Kauffman and David Cran Transcribed by Mindy Mattingly Phillips [mmatting@indiana.edu CHANDLER: This is unbelievable. It's been like a half an hour. If this was a cartoon, you'd be looking like a ham right about now JOEY: There's the waitress. Excuse me, Miss. Hello, Miss CHANDLER: It's Phoebe! Hi URSULA: Hi. Ok, will that be all CHANDLER: Wait, wait! Wh-What are you doing here URSULA: Yeah, um, I was over there, and then you said ""excuse me, hello miss,"" so now I'm here JOEY: No, no how come are you working here URSULA: Right, yeah, 'cause it's close to where I live, and the aprons are really cute CHANDLER: Can we start over URSULA: Yeah. Ok, great. I'm gonna be over here CHANDLER and JOEY: No no no ROSS: I don't know whether he's testing me, or just acting out, but my monkey is out of control. But, he keeps erasing the messages on my machine, supposedly by accident RACHEL: Oh, yeah, I've done that ROSS: And then, like three days in a row he got to the newspaper before I did and pee-ed all over the crossword RACHEL: I've never done that CHANDLER: All right, now look at her and tell me she doesn't look exactly like her sister JOEY: I'm sayin' I see a difference CHANDLER: They're twins JOEY: I don't care. Phoebe's Phoebe. Ursula's--hot CHANDLER: You know that thing, when you and I talk to each other about things. Let's not do that anymore JOEY: Hey Pheebs, guess who we saw today PHOEBE: Ooh! Oh! Fun! Ok. Um, Liam Neeson JOEY: Nope<|endoftext|>"
